,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2019-09-01,50.0,42.0,52.0,59.0,63.0,57.0,21.0,22.0,20.0
2019-09-08,47.0,38.0,53.0,55.0,70.0,49.0,30.0,25.0,29.0
2019-09-15,56.0,51.0,46.0,67.0,66.0,57.0,33.0,27.0,27.0
2019-09-22,50.0,66.0,44.0,62.0,63.0,52.0,34.0,19.0,19.0
2019-09-29,49.0,59.0,60.0,54.0,74.0,45.0,28.0,20.0,22.0
2019-10-06,54.0,46.0,51.0,63.0,67.0,61.0,28.0,26.0,18.0
2019-10-13,65.0,41.0,60.0,57.0,71.0,58.0,32.0,26.0,22.0
2019-10-20,72.0,52.0,54.0,68.0,71.0,47.0,34.0,21.0,20.0
2019-10-27,43.0,48.0,61.0,57.0,74.0,65.0,38.0,21.0,21.0
2019-11-03,51.0,42.0,45.0,65.0,75.0,54.0,36.0,22.0,23.0
2019-11-10,65.0,37.0,57.0,56.0,83.0,30.0,37.0,21.0,20.0
2019-11-17,49.0,54.0,56.0,60.0,68.0,62.0,36.0,26.0,20.0
2019-11-24,46.0,35.0,51.0,51.0,65.0,52.0,43.0,25.0,26.0
2019-12-01,50.0,40.0,53.0,60.0,63.0,44.0,48.0,29.0,28.0
2019-12-08,38.0,47.0,51.0,52.0,64.0,55.0,55.0,41.0,26.0
2019-12-15,31.0,62.0,51.0,53.0,63.0,58.0,61.0,48.0,36.0
2019-12-22,40.0,89.0,51.0,40.0,47.0,26.0,60.0,40.0,49.0
2019-12-29,49.0,47.0,46.0,55.0,64.0,23.0,64.0,31.0,34.0
2020-01-05,46.0,36.0,46.0,57.0,73.0,60.0,44.0,30.0,28.0
2020-01-12,50.0,48.0,53.0,60.0,74.0,47.0,37.0,27.0,25.0
2020-01-19,67.0,60.0,52.0,57.0,80.0,47.0,40.0,29.0,24.0
2020-01-26,48.0,27.0,61.0,53.0,74.0,57.0,34.0,35.0,27.0
2020-02-02,49.0,45.0,62.0,73.0,70.0,36.0,29.0,29.0,28.0
2020-02-09,47.0,46.0,44.0,54.0,68.0,58.0,34.0,28.0,26.0
2020-02-16,52.0,44.0,53.0,60.0,77.0,64.0,38.0,30.0,23.0
2020-02-23,52.0,56.0,64.0,61.0,77.0,67.0,33.0,37.0,28.0
2020-03-01,53.0,50.0,69.0,58.0,80.0,69.0,47.0,42.0,40.0
2020-03-08,52.0,58.0,58.0,55.0,82.0,100.0,80.0,90.0,73.0
2020-03-15,61.0,63.0,92.0,36.0,84.0,61.0,100.0,100.0,100.0
2020-03-22,66.0,65.0,89.0,44.0,70.0,61.0,76.0,78.0,66.0
2020-03-29,85.0,57.0,86.0,47.0,71.0,62.0,47.0,50.0,45.0
2020-04-05,64.0,77.0,100.0,38.0,61.0,65.0,38.0,44.0,31.0
2020-04-12,60.0,79.0,63.0,50.0,69.0,46.0,35.0,48.0,34.0
2020-04-19,67.0,73.0,86.0,64.0,56.0,65.0,20.0,44.0,21.0
2020-04-26,60.0,70.0,80.0,46.0,63.0,60.0,24.0,39.0,18.0
2020-05-03,80.0,57.0,85.0,54.0,69.0,61.0,24.0,33.0,21.0
2020-05-10,85.0,56.0,76.0,53.0,77.0,58.0,19.0,30.0,22.0
2020-05-17,74.0,73.0,75.0,51.0,72.0,32.0,17.0,26.0,21.0
2020-05-24,67.0,64.0,75.0,42.0,58.0,30.0,13.0,36.0,15.0
2020-05-31,51.0,46.0,65.0,48.0,72.0,47.0,13.0,50.0,16.0
2020-06-07,48.0,37.0,57.0,46.0,66.0,21.0,15.0,35.0,19.0
2020-06-14,52.0,42.0,71.0,51.0,59.0,40.0,13.0,30.0,20.0
2020-06-21,49.0,46.0,60.0,49.0,65.0,48.0,14.0,27.0,20.0
2020-06-28,41.0,33.0,68.0,61.0,69.0,29.0,14.0,23.0,22.0
2020-07-05,65.0,39.0,57.0,56.0,92.0,38.0,15.0,23.0,25.0
2020-07-12,53.0,33.0,61.0,64.0,72.0,28.0,14.0,26.0,25.0
2020-07-19,37.0,31.0,52.0,55.0,71.0,42.0,16.0,24.0,25.0
